,Brand,Model,Mileage,Year,Price,Price Drop
354,Chevrolet,Silverado 1500,79962,2015,28500,FALSE
355,Honda,Accord,5000,2020,30000,FALSE
356,Lexus,RX,29364,2019,45998,FALSE
357,Toyota,Camry,35675,2018,25998,FALSE
358,Ford,F-150,17528,2020,46991,FALSE
359,Kia,Forte,41005,2018,18595,FALSE
360,Ram,1500,7666,2021,43998,FALSE
361,Toyota,RAV4,36835,2019,33988,FALSE
362,Ford,EcoSport,45871,2018,19494,FALSE
363,Toyota,Tacoma,146241,2017,18991,FALSE
364,Dodge,Grand Caravan,53648,2019,22995,FALSE
365,BMW,3 Series,32030,2018,26995,FALSE
366,Mercedes-Benz,C-Class,21138,2019,48988,FALSE
367,Honda,Odyssey,14931,2019,39900,FALSE
368,Porsche,911,76198,2006,42677,FALSE
369,Toyota,RAV4,14178,2020,33988,FALSE
370,BMW,5 Series,29600,2021,76495,FALSE
371,Lexus,CT,153424,2012,7500,FALSE
372,Subaru,BRZ,104216,2013,17491,FALSE
373,Kia,K5,14183,2021,32991,FALSE
374,BMW,X3 M,11569,2020,71995,FALSE
375,Ford,Fusion,39386,2019,26991,FALSE
376,Honda,Accord,23400,2019,30998,FALSE
377,BMW,3 Series,22898,2018,33277,FALSE
378,Toyota,Corolla,2065,2021,26980,FALSE
379,Lexus,NX,51002,2019,34998,FALSE
380,BMW,X6,45673,2016,41995,FALSE
381,Chevrolet,Bolt EV,27458,2020,29435,FALSE
382,Toyota,Tacoma,42845,2020,36297,FALSE
383,Acura,MDX,38184,2019,40980,FALSE
384,Honda,Civic,64631,2019,26998,FALSE
385,Land Rover,Range Rover Sport,66763,2015,42707,FALSE
386,INFINITI,QX50,20359,2019,34998,FALSE
387,Hyundai,Santa Fe,25659,2017,24991,FALSE
388,Honda,Accord,12255,2020,32900,FALSE
389,BMW,X3,40321,2020,43227,FALSE
390,Jeep,Grand Cherokee,34765,2018,39998,TRUE
391,Ford,Econoline Cargo Van,95000,2014,22988,FALSE
392,Honda,Pilot,22824,2018,31767,FALSE
393,Hyundai,Sonata,101000,2013,10499,FALSE
394,BMW,M3,43458,2017,56995,FALSE
395,BMW,X3,58490,2018,35997,FALSE
396,smart,fortwo electric drive,10867,2017,17435,FALSE
397,BMW,M4,33571,2019,64995,FALSE
398,BMW,2 Series,36824,2020,41357,FALSE
399,BMW,4 Series,588,2021,58877,FALSE
400,Ford,F-150,30531,2020,53493,FALSE
401,Jeep,Wrangler,43278,2018,32397,FALSE
402,Land Rover,Discovery,42042,2018,42998,FALSE
403,Nissan,Altima,119924,2016,13500,FALSE
404,Toyota,C-HR,16207,2019,24900,TRUE
405,Porsche,Macan,19775,2018,49991,FALSE
406,Toyota,Camry,51121,2020,22297,FALSE
407,Ford,F-150,46480,2015,39988,FALSE
408,Honda,Accord,50986,2014,19595,FALSE
409,Mazda,CX-5,17450,2019,29998,FALSE
410,Chevrolet,Bolt EV,26123,2017,23250,FALSE
411,Land Rover,Discovery Sport,4174,2020,44998,FALSE
412,BMW,3 Series,20535,2018,,FALSE
413,Chevrolet,Silverado 1500,9287,2021,44998,FALSE
414,Chevrolet,Blazer,34837,2019,30998,FALSE
415,Toyota,Tacoma,220033,2011,15000,FALSE
416,Honda,CR-V,88861,2017,23500,FALSE
417,Honda,CR-V,27184,2020,28788,FALSE
418,Honda,Civic,26314,2019,24900,FALSE
419,Subaru,WRX,1793,2020,34998,FALSE
420,Toyota,Highlander,67070,2018,34988,FALSE
421,Ford,Escape,21544,2018,24492,FALSE
422,BMW,X5,45482,2016,35967,FALSE
423,Honda,Accord,11634,2020,32876,FALSE
424,Honda,Accord,78621,2013,17250,FALSE
425,Toyota,Prius,29140,2018,25967,FALSE
426,BMW,X5,37686,2019,54988,FALSE
427,BMW,X3,76859,2013,15963,FALSE
428,Honda,Civic,28000,2021,25495,FALSE
429,Nissan,Altima,54954,2020,23900,FALSE
430,MINI,Countryman,43369,2016,19595,FALSE
431,Ford,F-150,52790,2021,36998,FALSE
432,Toyota,Sienna,80648,2008,12388,FALSE
433,Porsche,Macan,30000,2018,54639,FALSE
434,Honda,CR-V,71794,2017,23590,FALSE
435,Tesla,Model 3,25139,2019,45998,FALSE
436,Nissan,Frontier,7316,2019,27999,TRUE
437,BMW,3 Series,60395,2008,10995,FALSE
438,Audi,Q3,55945,2018,28995,FALSE
439,Jeep,Wrangler,36749,2020,37497,FALSE
440,Mercedes-Benz,E-Class,8000,2007,9999,FALSE
441,Kia,Sorento,44370,2020,24497,FALSE
442,Chevrolet,Bolt EV,6095,2021,28715,FALSE
443,Subaru,Outback,87308,2017,22900,FALSE
444,Mercedes-Benz,GLE,66641,2017,34795,FALSE
445,Mercedes-Benz,S-Class,42358,2019,75727,FALSE
446,Volkswagen,Passat,71644,2016,17498,FALSE
447,Dodge,Charger,22252,2019,31980,FALSE
448,Chevrolet,Silverado 1500,107033,2018,27903,FALSE
449,Chevrolet,Bolt EV,34881,2018,26935,FALSE
450,Jeep,Wrangler,50436,2018,39590,FALSE
451,Toyota,Tacoma,39315,2017,38427,FALSE
452,Jeep,Compass,38751,2020,25597,FALSE
453,Tesla,Model S,22423,2018,63200,FALSE
454,Chevrolet,Equinox,29960,2019,24991,FALSE
455,Lexus,RC,37190,2015,35977,FALSE
456,Honda,Accord,37947,2018,25900,FALSE
457,Honda,Civic,26408,2019,27250,FALSE
458,Acura,MDX,26869,2019,42980,FALSE
459,Acura,MDX,19234,2019,44280,FALSE
460,Jeep,Wrangler,36912,2020,41797,FALSE
461,Toyota,Sienna,147943,2004,6975,FALSE
462,Ford,F-150,67099,2018,30070,FALSE
463,Audi,A7,6383,2021,68998,FALSE
464,Mercedes-Benz,C-Class,37146,2017,34995,FALSE
465,BMW,6 Series,24541,2018,69995,FALSE
466,Ford,Mustang,13648,2018,29991,FALSE
467,Chevrolet,Camaro,54851,2018,35998,FALSE
